File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\USER-PC\proyectos\react\wallaclone-tailwind\src\serviceWorker.js,"registerValidSW(swUrl, config)",42,32,21,5,2,1,8,53,
C:\Users\USER-PC\proyectos\react\wallaclone-tailwind\src\serviceWorker.js,"checkValidServiceWorker(swUrl, config)",28,24,16,1,0,0,4,44,
C:\Users\USER-PC\proyectos\react\wallaclone-tailwind\src\serviceWorker.js,unregister(),10,10,7,1,0,0,0,0,
